Ticker,date,LTM_REVENUE,LTM_EPS,LTM_OPERATING_INCOME,LTM_OPERATING_MARGIN,EV,NTM_PE,NTM_REVENUE,NTM_EPS,NTM_OPERATING_MARGIN,NTM_EV_EBITDA,LTM_EBITDA,MARKET_CAP,DAILY_VOLUME,LTM_DIVIDEND_YIELD,LTM_GROSS_MARGIN,LTM_EBIT_MARGIN,LONG_TERM_EPS_CAGR,LATEST_ANNUAL_DPS,LTM_EBITDA_MARGIN,TOTAL_DEBT_TO_ASSET,YOY_QUARTER_REVENUE_GROWTH,YOY_QUARTER_EPS_GROWTH,REVENUE_TO_CASH,LTM_EV_TO_EBITDA,LTM_PE,SHORT_INTEREST,SHORT_INTEREST_PERCENT_EQUITY_FLOAT,IMPLIED_CDS_SPREAD,IMPLIED_VOLATILITY_DELTA,TOTAL_CALL_OPEN_INTEREST,TOTAL_PUT_OPEN_INTEREST,PB,TOTAL_DEBT_TO_EQUITY,LTM_TOTAL_DEBT_TO_EBITDA,LTM_ROE,TANGIBLE_BOOK_VALUE_PER_SHARE,LTM_CAPITAL_EXPENDITURES,NET_DEBT,NTM_REVENUE_GROWTH,LTM_EV_REVENUE,LTM_EV_EBIT,LTM_EBITDA_CAPEX_MARGIN
AMZN,1/30/15,88988,-0.3013,178,0.2,142986,95.253,102775,3.722,,19.421,4923,164638,23856100,,29.4826,0.2,38.282,0,5.5322,29.5184,14.6207,-11.5385,2.0147,29.0444,33.1731,464.384,7374280,1.942,122,30.938,204786,289903,15.3483,149.79,3.2681,-2.3527,14.3183,-4892,10209.70074,0.154931002,1.606800917,803.2921348
AMZN,2/27/15,88988,-0.3013,178,0.2,142986,109.116,102785,3.484,,20.925,4923,176540,2532310,,29.4826,0.2,40.423,0,5.5322,29.5184,14.6207,-11.5385,2.0147,29.0444,35.5907,464.384,7193340,1.894,115,22.938,189595,232096,16.4579,149.79,3.2681,-2.3527,14.3183,-4892,10293.94208,0.155043377,1.606800917,803.2921348
AMZN,3/31/15,91964,-0.6525,287,0.3121,169252,105.113,102794,3.54,,20.018,5448,172797,2506120,,30.3075,0.3121,41.538,0,5.9241,19.2391,15.0752,-11.5385,2.2191,31.0667,30.9564,464.384,5981200,1.575,115,22.511,185057,219989,15.9476,88.6048,1.7684,-3.83,15.8412,-4683,5516.833052,0.117763473,1.840415815,589.728223
AMZN,4/30/15,91964,-0.6525,287,0.3121,169252,94.654,106913,4.456,,21.408,5448,196415,3647880,,30.3075,0.3121,40.963,0,5.9241,19.2391,15.0752,-11.5385,2.2191,31.0667,35.2915,465.681,6373040,1.672,95,25.173,218158,226855,18.0768,88.6048,1.7684,-3.83,15.8412,-4683,7719.728741,0.162552738,1.840415815,589.728223
AMZN,5/29/15,91964,-0.6525,287,0.3121,169252,87.939,107078,4.881,,21.464,5448,199884,3016060,,30.3075,0.3121,43.797,0,5.9241,19.2391,15.0752,-11.5385,2.2191,31.0667,35.9283,465.681,4699580,1.233,90,22.571,186654,207696,18.3961,88.6048,1.7684,-3.83,15.8412,-4683,7942.213661,0.164346918,1.840415815,589.728223
AMZN,6/30/15,95809,-0.1912,766,0.7995,198662,87.89,107016,4.939,,21.733,6322,202147,2596870,,31.2664,0.7995,43.797,0,6.5985,18.1331,19.8811,-11.5385,2.2578,31.4239,31.2647,465.681,5404990,1.418,88,24.269,181861,201086,17.2633,80.8039,1.5041,-1.6808,17.6175,-4606,5382.540838,0.116972309,2.073521277,259.3498695
AMZN,7/31/15,95809,-0.1912,766,0.7995,198662,74.29,115060,7.217,,21.841,6322,250763,3025600,,31.2664,0.7995,56.03,0,6.5985,18.1331,19.8811,-11.5385,2.2578,31.4239,38.9546,467.71,5094950,1.329,77,23.039,269384,273729,21.3221,80.8039,1.5041,-1.6808,17.6175,-4606,8870.6328,0.200931019,2.073521277,259.3498695
AMZN,8/31/15,95809,-0.1912,766,0.7995,198662,70.375,115100,7.288,,20.824,6322,239884,3002290,,31.2664,0.7995,56.03,0,6.5985,18.1331,19.8811,-11.5385,2.2578,31.4239,37.2338,467.71,6390980,1.663,87,33.57,212924,229153,20.3971,80.8039,1.5041,-1.6808,17.6175,-4606,10247.20446,0.201348516,2.073521277,259.3498695
AMZN,9/30/15,100588,0.6902,1716,1.706,235008,69.683,115181,7.346,,20.601,7624,239416,4004680,,32.4164,1.706,56.03,0,7.5794,16.6459,23.2227,-11.5385,2.3679,30.8248,30.7382,467.71,7308020,1.902,85,35.22,214007,250888,19.3143,75.3017,1.2277,2.8815,18.9787,-4423,8852.095672,0.145076948,2.336342307,136.951049
AMZN,10/30/15,100588,0.6902,1716,1.706,235008,69.988,122466,8.943,,21.881,7624,293398,3874360,,32.4164,1.706,63.253,0,7.5794,16.6459,23.2227,-11.5385,2.3679,30.8248,37.8187,468.762,6752620,1.752,70,23.075,222780,293139,23.616,75.3017,1.2277,2.8815,18.9787,-4423,9100.581958,0.217501094,2.336342307,136.951049
AMZN,11/30/15,100588,0.6902,1716,1.706,235008,71.964,122550,9.238,,23.16,7624,311633,5693170,,32.4164,1.706,63.253,0,7.5794,16.6459,23.2227,-11.5385,2.3679,30.8248,40.2105,468.762,5529330,1.435,65,30.015,236900,263226,25.0838,75.3017,1.2277,2.8815,18.9787,-4423,9785.609044,0.218336183,2.336342307,136.951049
AMZN,12/31/15,107007,1.2442,2233,2.0868,316075,73.085,122418,9.248,,21.758,8514,316832,3749560,,33.0408,2.0868,63.253,0,7.9565,27.0885,21.8869,123.913,2.2497,37.1242,36.9465,468.762,4783500,1.241,62,23.971,247544,282217,23.7854,131.044,2.06,4.9409,18.3291,-4588,8716.45597,0.144018616,2.953778725,141.5472459
AMZN,1/29/16,107007,1.2442,2233,2.0868,316075,61.216,129642,9.589,,19.646,8514,276384,14677600,,33.0408,2.0868,47.04,0,7.9565,27.0885,21.8869,123.913,2.2497,37.1242,32.1958,470.842,5896520,1.522,93,31.316,295072,252611,20.6573,131.044,2.06,4.9409,18.3291,-4588,12120.83813,0.211528218,2.953778725,141.5472459
AMZN,2/29/16,107007,1.2442,2233,2.0868,316075,59.719,129960,9.252,,18.634,8514,260150,4145400,,33.0408,2.0868,47.16,0,7.9565,27.0885,21.8869,123.913,2.2497,37.1242,30.289,470.842,6967740,1.798,95,33.381,184174,187261,19.4439,131.044,2.06,4.9409,18.3291,-4588,13931.25719,0.214499986,2.953778725,141.5472459
AMZN,3/31/16,113418,2.4354,3049,2.6883,281951,63.764,129994,9.31,,20.351,9731,279511,2681810,,33.7654,2.6883,47.16,0,8.5798,28.8117,28.2212,123.913,2.3358,28.9745,28.9039,470.842,6563750,1.694,91,24.911,200747,215581,18.9888,119.355,1.8099,9.0991,23.2436,-4896,9424.363162,0.146149641,2.485945793,92.47326992
AMZN,4/29/16,113418,2.4354,3049,2.6883,281951,55.798,140116,11.821,,18.802,9731,311213,10310700,,33.7654,2.6883,49.255,0,8.5798,28.8117,28.2212,123.913,2.3358,28.9745,32.1618,471.828,5629840,1.449,73,26.346,201306,265525,21.0983,119.355,1.8099,9.0991,23.2436,-4896,8348.59737,0.235394735,2.485945793,92.47326992
AMZN,5/31/16,113418,2.4354,3049,2.6883,281951,61.629,140169,11.728,,20.559,9731,341033,3618320,,33.7654,2.6883,50.372,0,8.5798,28.8117,28.2212,123.913,2.3358,28.9745,35.2261,471.828,5199060,1.335,74,21.318,187507,200859,23.1199,119.355,1.8099,9.0991,23.2436,-4896,9355.460041,0.235862032,2.485945793,92.47326992
AMZN,6/30/16,120637,4.0241,3870,3.208,340524,61.369,140351,11.661,,20.277,10957,337650,2855140,,34.3966,3.208,46.176,0,9.0826,27.4448,31.1365,805,2.4282,31.0782,30.9363,471.828,5166750,1.327,74,21.969,219431,239696,20.5106,107.994,1.63,13.6438,26.9283,-5394,6903.517807,0.163415867,2.822716082,87.99069767
AMZN,7/29/16,120637,4.0241,3870,3.208,340524,59.589,150083,12.734,,19.444,10957,359732,6777050,,34.3966,3.208,44.912,0,9.0826,27.4448,31.1365,805,2.4282,31.0782,32.9517,474.074,4581430,1.17,63,19.285,215824,251610,21.7485,107.994,1.63,13.6438,26.9283,-5394,7636.465334,0.244087635,2.822716082,87.99069767
AMZN,8/31/16,120637,4.0241,3870,3.208,340524,60.317,150153,12.752,,19.694,10957,364638,1633790,,34.3966,3.208,44.912,0,9.0826,27.4448,31.1365,805,2.4282,31.0782,33.3995,474.074,4507830,1.148,52,15.282,205176,227305,22.0451,107.994,1.63,13.6438,26.9283,-5394,5421.932019,0.244667888,2.822716082,87.99069767
AMZN,9/30/16,127993,4.3741,4039,3.1556,398363,64.757,150270,12.93,,21.503,11611,396947,4430570,,34.6472,3.1556,48.294,0,9.0716,26.7825,29.0086,211.765,2.3956,34.3091,34.2423,474.074,5832020,1.485,48,21.378,237750,306340,22.3666,106.782,1.6353,13.9282,29.4042,-6040,5947.466007,0.174048581,3.112381146,98.62911612
AMZN,10/31/16,127993,4.3741,4039,3.1556,398363,64.396,158540,12.265,,20.22,11611,375296,5413330,,34.6472,3.1556,43.063,0,9.0716,26.7825,29.0086,211.765,2.3956,34.3091,32.3777,475.167,5220050,1.325,54,21.085,247001,272238,21.098,106.782,1.6353,13.9282,29.4042,-6040,7604.200909,0.238661489,3.112381146,98.62911612
AMZN,11/30/16,127993,4.3741,4039,3.1556,398363,61.527,158466,12.199,,18.909,11611,356646,4625950,,34.6472,3.1556,43.063,0,9.0716,26.7825,29.0086,211.765,2.3956,34.3091,30.7714,475.167,6539750,1.661,59,23.704,285453,302271,20.0495,106.782,1.6353,13.9282,29.4042,-6040,10739.36812,0.238083333,3.112381146,98.62911612
AMZN,12/30/16,127993,4.3741,4039,3.1556,398363,61.149,158555,12.263,,17.288,11611,356313,4139450,,34.6472,3.1556,48.907,0,9.0716,26.7825,29.0086,211.765,2.3956,34.3091,28.511,475.167,5653900,1.436,58,22.461,304414,298165,18.5475,106.782,1.6353,13.9282,29.4042,-6040,7672.000932,0.238778683,3.112381146,98.62911612
AMZN,1/31/17,135987,4.9167,4186,3.0782,352117,56.426,168332,14.594,,18.939,12302,391290,3137200,,35.0938,3.0782,48.573,0,9.0465,24.4718,22.3627,52.4272,2.2624,28.6227,31.3542,475.167,5709240,1.45,42,35.498,200145,224790,20.3682,105.834,1.6591,14.5153,30.7065,-7804,7098.344372,0.237853618,2.589343099,84.11777353
AMZN,2/28/17,135987,4.9167,4186,3.0782,352117,63.709,164876,13.264,,20.261,12302,403228,2793710,,35.0938,3.0782,42.252,0,9.0465,24.4718,22.3627,52.4272,2.2624,28.6227,32.3246,477.171,5911110,1.493,39,16.323,211106,240820,20.9014,105.834,1.6591,14.5153,30.7065,-7804,7471.242664,0.212439424,2.589343099,84.11777353
AMZN,3/31/17,142573,5.3267,4120,2.8897,423834,68.596,164951,12.924,,21.531,12844,423031,3957610,,35.5853,2.8897,42.252,0,9.0087,26.6756,22.6105,39.4495,2.3131,32.9986,32.9414,477.171,4738720,1.197,40,16.211,223046,314392,19.5518,99.654,1.6816,14.1751,37.3452,-8773,5771.308399,0.15695819,2.972750801,102.8723301
AMZN,4/28/17,142573,5.3267,4120,2.8897,423834,68.2,173558,13.563,,21.162,12844,442123,7364680,,35.5853,2.8897,39.105,0,9.0087,26.6756,22.6105,39.4495,2.3131,32.9986,34.4278,477.975,4684350,1.181,43,16.802,267811,326650,20.3998,99.654,1.6816,14.1751,37.3452,-8773,7485.975905,0.217327264,2.972750801,102.8723301
AMZN,5/31/17,142573,5.3267,4120,2.8897,423834,75.264,173764,13.215,,22.961,12844,475404,3913120,,35.5853,2.8897,32.105,0,9.0087,26.6756,22.6105,39.4495,2.3131,32.9986,37.019,477.975,5261290,1.323,32,17.646,292938,349697,21.9354,99.654,1.6816,14.1751,37.3452,-8773,7399.753823,0.218772138,2.972750801,102.8723301
AMZN,6/30/17,150124,3.9467,3463,2.3068,466808,73.035,174192,13.254,,22.539,12911,462680,3390340,,35.9803,2.3068,33.605,0,8.6002,26.9067,24.8355,-77.3481,2.8747,36.1558,36.004,477.975,4887250,1.229,33,21.073,303747,350666,20.0155,101.745,1.8294,9.67,39.5,-10175,8584.534059,0.160320801,3.109482828,134.7987294
