Ticker,Date,Close/Last,Open,High,Low
AMZN,12/31/20,3256.93,3275.00,3282.92,3241.20
AMZN,12/30/20,3285.85,3341.00,3342.10,3282.47
AMZN,12/29/20,3322.00,3309.94,3350.65,3281.22
AMZN,12/28/20,3283.96,3194.00,3304.00,3172.69
AMZN,12/24/20,3172.69,3193.90,3202.00,3169.00
AMZN,12/23/20,3185.27,3205.00,3210.13,3184.17
AMZN,12/22/20,3206.52,3202.84,3222.00,3180.08
AMZN,12/21/20,3206.18,3200.01,3226.97,3166.00
AMZN,12/18/20,3201.65,3243.99,3249.42,3171.60
AMZN,12/17/20,3236.08,3250.00,3263.51,3221.00
AMZN,12/16/20,3240.96,3176.01,3247.00,3163.68
AMZN,12/15/20,3165.12,3181.01,3188.50,3130.49
AMZN,12/14/20,3156.97,3143.00,3190.47,3126.00
AMZN,12/11/20,3116.42,3096.66,3118.67,3072.82
AMZN,12/10/20,3101.49,3088.99,3142.10,3076.00
AMZN,12/9/20,3104.20,3167.89,3174.43,3088.00
AMZN,12/8/20,3177.29,3158.90,3184.13,3120.02
AMZN,12/7/20,3158.00,3156.48,3180.76,3141.69
AMZN,12/4/20,3162.58,3198.21,3198.21,3158.76
AMZN,12/3/20,3186.73,3205.46,3228.64,3181.31
AMZN,12/2/20,3203.53,3221.65,3232.00,3173.26
AMZN,12/1/20,3220.08,3188.50,3248.95,3157.18
AMZN,11/30/20,3168.04,3208.48,3228.39,3125.55
AMZN,11/27/20,3195.34,3211.26,3216.19,3190.05
AMZN,11/25/20,3185.07,3141.87,3198.00,3140.26
AMZN,11/24/20,3118.06,3100.50,3134.25,3086.26
AMZN,11/23/20,3098.39,3116.70,3139.75,3065.46
AMZN,11/20/20,3099.40,3117.02,3132.89,3098.05
AMZN,11/19/20,3117.02,3105.31,3125.00,3080.92
AMZN,11/18/20,3105.46,3134.00,3140.00,3105.10
AMZN,11/17/20,3135.66,3183.55,3189.25,3135.26
AMZN,11/16/20,3131.06,3093.20,3142.70,3072.69
AMZN,11/13/20,3128.81,3122.00,3141.72,3085.39
AMZN,11/12/20,3110.28,3159.95,3175.88,3086.05
AMZN,11/11/20,3137.39,3061.78,3139.15,3050.00
AMZN,11/10/20,3035.02,3095.02,3114.00,3019.48
AMZN,11/9/20,3143.74,3231.03,3289.00,3112.11
AMZN,11/6/20,3311.37,3304.64,3322.00,3232.00
AMZN,11/5/20,3322.00,3319.97,3366.80,3288.88
AMZN,11/4/20,3241.16,3159.99,3244.85,3139.73
AMZN,11/3/20,3048.41,3018.53,3074.90,2980.98
AMZN,11/2/20,3004.48,3061.74,3079.71,2950.12
AMZN,10/30/20,3036.15,3157.75,3167.00,3019.00
AMZN,10/29/20,3211.01,3201.27,3257.25,3164.00
AMZN,10/28/20,3162.78,3249.30,3264.02,3162.47
AMZN,10/27/20,3286.33,3224.94,3291.66,3211.30
AMZN,10/26/20,3207.04,3198.74,3282.98,3153.30
AMZN,10/23/20,3204.40,3191.00,3205.33,3140.00
AMZN,10/22/20,3176.40,3189.87,3198.75,3121.94
AMZN,10/21/20,3184.94,3212.50,3233.88,3160.00
AMZN,10/20/20,3217.01,3222.28,3266.00,3192.01
AMZN,10/19/20,3207.21,3299.61,3329.00,3192.74
AMZN,10/16/20,3272.71,3363.23,3399.66,3160.00
AMZN,10/15/20,3338.65,3292.01,3355.88,3280.00
AMZN,10/14/20,3363.71,3447.00,3464.88,3340.00
AMZN,10/13/20,3443.63,3467.99,3492.38,3424.22
AMZN,10/12/20,3442.93,3349.94,3496.24,3339.55
AMZN,10/9/20,3286.65,3210.00,3288.99,3197.83
AMZN,10/8/20,3190.55,3224.99,3233.29,3174.99
AMZN,10/7/20,3195.69,3135.00,3200.00,3132.39
AMZN,10/6/20,3099.96,3165.00,3182.00,3090.00
AMZN,10/5/20,3199.20,3145.84,3202.53,3140.85
AMZN,10/2/20,3125.00,3153.63,3195.80,3123.00
AMZN,10/1/20,3221.26,3208.00,3224.00,3172.00
AMZN,9/30/20,3148.73,3141.14,3212.88,3133.99
AMZN,9/29/20,3144.88,3175.39,3188.26,3132.54
AMZN,9/28/20,3174.05,3148.85,3175.04,3117.17
AMZN,9/25/20,3095.13,3054.86,3101.54,2999.00
AMZN,9/24/20,3019.79,2977.79,3069.30,2965.00
AMZN,9/23/20,2999.86,3120.43,3127.00,2992.38
AMZN,9/22/20,3128.99,3033.84,3133.99,3000.20
AMZN,9/21/20,2960.47,2906.50,2962.00,2871.00
AMZN,9/18/20,2954.91,3031.74,3037.80,2905.54
AMZN,9/17/20,3008.73,3009.25,3029.43,2972.55
AMZN,9/16/20,3078.10,3179.99,3187.24,3074.15
AMZN,9/15/20,3156.13,3136.16,3175.02,3108.92
AMZN,9/14/20,3102.97,3172.94,3187.39,3096.00
AMZN,9/11/20,3116.22,3208.69,3217.34,3083.98
AMZN,9/10/20,3175.11,3307.22,3349.89,3170.55
AMZN,9/9/20,3268.61,3202.99,3303.18,3185.00
AMZN,9/8/20,3149.84,3144.00,3250.85,3130.00
AMZN,9/4/20,3294.62,3318.00,3381.50,3111.13
AMZN,9/3/20,3368.00,3485.00,3488.41,3303.00
AMZN,9/2/20,3531.45,3547.00,3552.25,3486.69
AMZN,9/1/20,3499.12,3489.58,3513.87,3467.00
AMZN,8/31/20,3450.96,3408.99,3495.00,3405.00
AMZN,8/28/20,3401.80,3423.00,3433.37,3386.50
